model,axis,debates,self,self_lo,self_hi,opponent,opponent_lo,opponent_hi,gap,gap_lo,gap_hi,panel_gap,panel_gap_lo,panel_gap_hi,shift,shift_lo,shift_hi
kimi-k3,argument_strength,100,7.89,7.826530612244898,7.948979591836735,7.56,7.453954081632653,7.666666666666667,0.33,0.18627450980392157,0.46938775510204084,0.2299999999999999,0.03331699346405213,0.4266666666666666,0.1000000000000001,-0.021666666666666546,0.22450255102040828
kimi-k3,rebuttal_quality,100,7.925,7.81,8.030015306122449,7.48,7.35,7.612745098039215,0.445,0.22058823529411764,0.6530612244897959,0.31999999999999995,0.07482993197278917,0.5457745098039215,0.12500000000000003,-0.016690705128205155,0.27167772108843535
kimi-k3,grounding_and_epistemic_discipline,100,7.935,7.862244897959184,8.01,7.875,7.801020408163265,7.945,0.06,-0.03,0.15,0.10666666666666672,-0.0068027210884353964,0.21666666666666679,-0.0466666666666667,-0.1533750000000001,0.06802721088435368
kimi-k3,originality_of_argument,100,7.725,7.637686224489796,7.8088235294117645,7.625,7.510204081632653,7.739795918367347,0.1,-0.04591836734693878,0.25012019230769167,0.026666666666666696,-0.15306122448979584,0.19727891156462596,0.07333333333333332,-0.05067892156862748,0.19049369747899145
kimi-k3,rhetorical_effectiveness,100,8.465,8.38938137755102,8.545918367346939,8.17,8.035714285714286,8.306122448979592,0.295,0.135,0.4489795918367347,0.19333333333333336,0.01998076923076928,0.38,0.10166666666666663,-0.008174019607843185,0.21502465986394545
glm-5-3-high,argument_strength,80,7.3375,7.25,7.425,7.41875,7.275,7.55625,-0.08125,-0.2625,0.10625,-0.19583333333333325,-0.4124999999999998,0.016666666666666698,0.11458333333333326,-0.04166666666666665,0.26874999999999993
glm-5-3-high,rebuttal_quality,80,7.39375,7.275,7.5125,7.675,7.5375,7.8125,-0.28125,-0.5,-0.05,-0.27291666666666675,-0.5208333333333334,-0.022864583333333657,-0.008333333333333281,-0.19166666666666665,0.17916666666666664
glm-5-3-high,grounding_and_epistemic_discipline,80,7.0875,7.00625,7.16875,7.25,7.14375,7.3625,-0.1625,-0.25625,-0.06875,-0.22291666666666665,-0.3604166666666666,-0.0729166666666666,0.06041666666666665,-0.06875,0.17499999999999996
glm-5-3-high,originality_of_argument,80,7.2125,7.11875,7.30625,7.1375,6.98125,7.3,0.075,-0.10625,0.25,-0.03750000000000005,-0.2083333333333334,0.14166666666666664,0.11250000000000004,-0.018750000000000034,0.2333333333333334
glm-5-3-high,rhetorical_effectiveness,80,7.75625,7.66875,7.8375,7.6,7.41875,7.78125,0.15625,-0.06875,0.39375,-0.020833333333333304,-0.2501041666666667,0.225,0.17708333333333331,0.06249999999999996,0.28546874999999977
gpt-6-astra-high,argument_strength,126,7.968253968253968,7.940476190476191,7.992063492063492,6.071428571428571,5.944444444444445,6.194444444444445,1.8968253968253967,1.7697420634920635,2.0277777777777777,-0.3015873015873015,-0.5026455026455028,-0.1216269841269844,2.1984126984126986,2.0317460317460316,2.369080687830688
gpt-6-astra-high,rebuttal_quality,126,8.234126984126984,8.178571428571429,8.285714285714286,5.198412698412699,5.051587301587301,5.357142857142857,3.0357142857142856,2.8531746031746033,3.2142857142857144,-0.2989417989417989,-0.513425925925926,-0.0978174603174607,3.334656084656084,3.1282076719576724,3.5436838624338627
gpt-6-astra-high,grounding_and_epistemic_discipline,126,8.003968253968255,7.98015873015873,8.027777777777779,5.587301587301587,5.420634920634921,5.750099206349206,2.4166666666666665,2.253968253968254,2.5833333333333335,-0.03703703703703703,-0.13227513227513232,0.05826719576719548,2.4537037037037037,2.294940476190476,2.6137896825396822
gpt-6-astra-high,originality_of_argument,126,6.817460317460317,6.75,6.884920634920635,5.817460317460317,5.698412698412699,5.94454365079365,1.0,0.8848214285714285,1.1071428571428572,-0.4708994708994709,-0.6190476190476192,-0.33597883597883604,1.4708994708994705,1.3346230158730161,1.6058531746031746
gpt-6-astra-high,rhetorical_effectiveness,126,7.992063492063492,7.976190476190476,8.007936507936508,6.7103174603174605,6.583333333333333,6.853174603174603,1.2817460317460319,1.1388888888888888,1.4087301587301588,-0.85978835978836,-0.9894179894179894,-0.7407407407407408,2.1415343915343916,2.007936507936508,2.2698743386243385
grok-4.6-high,argument_strength,134,7.567164179104478,7.492421328671329,7.638059701492537,7.634328358208955,7.558781512605042,7.712700285338016,-0.06716417910447761,-0.20149253731343283,0.05972410673903199,-0.3905472636815921,-0.5461642156862746,-0.23381840796019912,0.3233830845771145,0.20508928571428572,0.44363751097453913
grok-4.6-high,rebuttal_quality,134,7.477611940298507,7.398534139620331,7.551470588235294,7.619402985074627,7.553010515603799,7.6875,-0.1417910447761194,-0.27467507249378625,-0.018307409502262853,-0.45522388059701496,-0.6338383838383839,-0.26119402985074636,0.3134328358208956,0.1641112618724559,0.45149253731343286
grok-4.6-high,grounding_and_epistemic_discipline,134,7.417910447761194,7.337121212121212,7.496212121212121,7.455223880597015,7.373134328358209,7.539869725063939,-0.03731343283582089,-0.13636363636363635,0.058845478489903305,-0.06716417910447765,-0.16176648195510096,0.024885044474596673,0.029850746268656757,-0.06221390845070418,0.12121490641711231
grok-4.6-high,originality_of_argument,134,7.2164179104477615,7.143939393939394,7.285740546218487,7.302238805970149,7.21375479539642,7.382575757575758,-0.08582089552238806,-0.2022231990622336,0.03031468531468525,-0.2835820895522388,-0.41414327094474146,-0.15903154681139783,0.19776119402985073,0.09343434343434344,0.3005244755244753
grok-4.6-high,rhetorical_effectiveness,134,7.8283582089552235,7.757462686567164,7.893939393939394,7.727611940298507,7.639285714285714,7.814418706293706,0.10074626865671642,-0.030303030303030304,0.22761194029850745,-0.11691542288557205,-0.26523914518317493,0.02492775095112653,0.21766169154228848,0.11152777777777778,0.3258993856475198
muse-spark-1.3-high,argument_strength,112,7.308035714285714,7.196428571428571,7.410714285714286,7.401785714285714,7.290178571428571,7.508928571428571,-0.09375,-0.29017857142857145,0.10267857142857142,-0.2529761904761905,-0.40476190476190477,-0.11309523809523814,0.1592261904761905,-0.046130952380952384,0.35267857142857145
muse-spark-1.3-high,rebuttal_quality,112,7.28125,7.15625,7.40625,7.383928571428571,7.263392857142857,7.5,-0.10267857142857142,-0.33035714285714285,0.12511160714285655,-0.3497023809523809,-0.5268229166666666,-0.18002232142857155,0.24702380952380948,0.010379464285714242,0.47325148809523804
muse-spark-1.3-high,grounding_and_epistemic_discipline,112,7.540178571428571,7.459821428571429,7.616071428571429,7.602678571428571,7.5,7.705357142857143,-0.0625,-0.1875,0.05803571428571429,-0.10863095238095248,-0.18452380952380962,-0.029761904761904844,0.04613095238095248,-0.09672619047619037,0.18452380952380962
muse-spark-1.3-high,originality_of_argument,112,6.955357142857143,6.866071428571429,7.040178571428571,7.022321428571429,6.924107142857143,7.125,-0.06696428571428571,-0.22321428571428573,0.0804687499999994,-0.18154761904761904,-0.29761904761904756,-0.0654761904761905,0.11458333333333333,-0.0193452380952381,0.24259672619047604
muse-spark-1.3-high,rhetorical_effectiveness,112,7.589285714285714,7.513392857142857,7.665178571428571,7.504464285714286,7.410714285714286,7.59375,0.08482142857142858,-0.05803571428571429,0.22779017857142797,0.03869047619047627,-0.1160714285714285,0.19940476190476192,0.04613095238095229,-0.10119047619047626,0.19196428571428562
claude-sonnet-5-high,argument_strength,104,7.336538461538462,7.25,7.427918632075471,7.528846153846154,7.44114705882353,7.61275665926748,-0.19230769230769232,-0.3431372549019608,-0.04411764705882353,-0.42307692307692313,-0.6018696581196581,-0.2320261437908498,0.23076923076923084,0.0897435897435898,0.3663600628930818
claude-sonnet-5-high,rebuttal_quality,104,7.177884615384615,7.068159965034965,7.2836703431372545,7.3701923076923075,7.264992647058823,7.471780660377358,-0.19230769230769232,-0.3894752358490566,0.0,-0.45833333333333337,-0.6918359941944848,-0.22549019607843143,0.2660256410256411,0.0932798742138366,0.44233333333333336
claude-sonnet-5-high,grounding_and_epistemic_discipline,104,7.052884615384615,6.9663296568627455,7.14,7.2451923076923075,7.171568627450981,7.313757352941176,-0.19230769230769232,-0.2843308823529412,-0.09133522727272733,-0.2980769230769232,-0.4213882722900482,-0.17592171717171726,0.10576923076923087,-0.03525641025641018,0.24520285087719307
claude-sonnet-5-high,originality_of_argument,104,6.783653846153846,6.696078431372549,6.87,6.826923076923077,6.711538461538462,6.943436320754717,-0.04326923076923077,-0.1971153846153846,0.10849056603773585,-0.21474358974358973,-0.3750204248366013,-0.05328205128205153,0.17147435897435898,0.04713435688740903,0.2971810422282119
claude-sonnet-5-high,rhetorical_effectiveness,104,7.346153846153846,7.240196078431373,7.451923076923077,7.586538461538462,7.461538461538462,7.705370273109244,-0.2403846153846154,-0.43402007029226786,-0.038461538461538464,-0.3493589743589744,-0.5409001572327043,-0.15383986928104573,0.10897435897435896,-0.016033496732026198,0.2275746855345911
