debate_id,side_swap_group_id,topic_id,proposition_text,reference_judges,model,opponent,own_side,self_margin_as_a,self_margin_as_b,self_margin,panel_self_margin,panel_normalized_self_margin,self_panel_shift,order_a_advantage,order_margin_range,self_outcome,panel_outcome,self_win,self_tie,opponent_win,panel_win,panel_loss,panel_agreement,both_orders_opponent_win,order_decisive_flip,order_outcome_changed,loss_ack,robust_loss_ack,task_as_a,task_as_b,argument_strength_self,argument_strength_opponent,argument_strength_gap,argument_strength_panel_gap,argument_strength_shift,rebuttal_quality_self,rebuttal_quality_opponent,rebuttal_quality_gap,rebuttal_quality_panel_gap,rebuttal_quality_shift,grounding_and_epistemic_discipline_self,grounding_and_epistemic_discipline_opponent,grounding_and_epistemic_discipline_gap,grounding_and_epistemic_discipline_panel_gap,grounding_and_epistemic_discipline_shift,originality_of_argument_self,originality_of_argument_opponent,originality_of_argument_gap,originality_of_argument_panel_gap,originality_of_argument_shift,rhetorical_effectiveness_self,rhetorical_effectiveness_opponent,rhetorical_effectiveness_gap,rhetorical_effectiveness_panel_gap,rhetorical_effectiveness_shift
prop_0127__claude-sonnet-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0127__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0127,Large supermarkets should be required to donate unsold edible food or discount it sharply before disposal rather than treat waste as a normal cost of doing business.,3,grok-4.6-high,claude-sonnet-5-high,con,1.5,1.3,1.4,0.8666666666666667,0.7909722222333334,0.5333333333333332,0.09999999999999998,0.19999999999999996,1,1,1,0,0,1,0,1,0,0,0,,,e66e5ee0f44889d83aeeca0b,2ffbf5f6284a2950c5217a45,8.0,7.0,1.0,0.666666666666667,0.33333333333333304,8.0,7.0,1.0,1.333333333333334,-0.3333333333333339,8.0,6.0,2.0,0.3333333333333339,1.666666666666666,8.0,6.5,1.5,1.333333333333333,0.16666666666666696,8.0,7.5,0.5,0.9999999999999991,-0.4999999999999991
prop_0127__claude-sonnet-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0127__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0127,Large supermarkets should be required to donate unsold edible food or discount it sharply before disposal rather than treat waste as a normal cost of doing business.,3,claude-sonnet-5-high,grok-4.6-high,pro,2.0,-1.7,0.15000000000000002,-0.8666666666666667,-0.7909722222333334,1.0166666666666666,1.85,3.7,0,-1,0,1,0,0,1,0,0,1,1,0.0,0.0,df29c57d3eea117df066ad23,c1c75c14c7a520333f3f30c5,7.5,7.5,0.0,-0.666666666666667,0.666666666666667,7.5,7.5,0.0,-1.333333333333334,1.333333333333334,6.5,7.0,-0.5,-0.3333333333333339,-0.16666666666666607,6.0,7.0,-1.0,-1.333333333333333,0.33333333333333304,7.0,8.0,-1.0,-0.9999999999999991,-8.881784197001252e-16
prop_0057__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0057__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0057,The U.S. strikes on Iranian military and nuclear targets were strategically justified despite the risk of a wider regional war.,3,claude-fable-5-1-high,claude-opus-5-high,pro,-0.9,1.2,0.14999999999999997,-1.6333333333333335,-1.6433333333333333,1.7833333333333334,-1.05,2.1,0,-1,0,1,0,0,1,0,0,1,1,0.0,0.0,f42b65c7bb25b60ce3380a3e,1e57f3a8313b849597e36a8b,7.5,7.5,0.0,-1.666666666666667,1.666666666666667,7.5,7.5,0.0,-1.666666666666667,1.666666666666667,7.0,7.0,0.0,-1.0000000000000009,1.0000000000000009,6.5,7.0,-0.5,-1.333333333333334,0.8333333333333339,7.0,8.0,-1.0,-1.666666666666667,0.666666666666667
prop_0057__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0057__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0057,The U.S. strikes on Iranian military and nuclear targets were strategically justified despite the risk of a wider regional war.,3,claude-opus-5-high,claude-fable-5-1-high,pro,-1.3,-1.1,-1.2000000000000002,0.6666666666666666,0.5973611111,-1.8666666666666667,-0.09999999999999998,0.19999999999999996,-1,1,0,0,1,1,0,0,1,0,0,,,2740406a971a0d30a4348df6,78d69c45aabb74607e2dcca6,7.5,8.0,-0.5,0.33333333333333304,-0.833333333333333,7.0,8.0,-1.0,0.0,-1.0,7.5,7.5,0.0,0.33333333333333304,-0.33333333333333304,7.0,7.5,-0.5,-0.3333333333333339,-0.16666666666666607,8.0,8.0,0.0,0.33333333333333304,-0.33333333333333304
prop_0057__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0057__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0057,The U.S. strikes on Iranian military and nuclear targets were strategically justified despite the risk of a wider regional war.,3,claude-fable-5-1-high,claude-opus-5-high,con,1.3,1.4,1.35,-0.6666666666666666,-0.5973611111,2.0166666666666666,-0.04999999999999993,0.09999999999999987,1,-1,1,0,0,0,1,0,0,0,0,0.0,0.0,dbb86242ed56a08a72f163b1,912045a848ba5db53eb36359,8.0,7.0,1.0,-0.33333333333333304,1.333333333333333,8.0,7.0,1.0,0.0,1.0,7.5,6.5,1.0,-0.33333333333333304,1.333333333333333,7.0,6.5,0.5,0.3333333333333339,0.16666666666666607,7.0,8.0,-1.0,-0.33333333333333304,-0.666666666666667
prop_0057__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0057__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0057,The U.S. strikes on Iranian military and nuclear targets were strategically justified despite the risk of a wider regional war.,3,claude-opus-5-high,claude-fable-5-1-high,con,1.2,1.1,1.15,1.6333333333333335,1.6433333333333333,-0.4833333333333336,0.04999999999999993,0.09999999999999987,1,1,1,0,0,1,0,1,0,0,0,,,726fccc7abc7586d50db780b,0e96ef690afcd8711e7fb443,8.0,7.0,1.0,1.666666666666667,-0.666666666666667,8.0,7.0,1.0,1.666666666666667,-0.666666666666667,7.5,7.0,0.5,1.0000000000000009,-0.5000000000000009,8.0,7.0,1.0,1.333333333333334,-0.3333333333333339,8.0,7.0,1.0,1.666666666666667,-0.666666666666667
prop_0168__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0168__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0168,Space agencies should shift most exploration budgets from crewed missions to robotic probes and telescopes that deliver more science per dollar.,3,grok-4.6-high,gpt-6-astra-high,pro,1.5,1.5,1.5,2.2333333333333334,1.9792857142857143,-0.7333333333333334,0.0,0.0,1,1,1,0,0,1,0,1,0,0,0,,,445dce6f50ad8edd8987b233,e82aef1571b7b100e5dc5937,8.0,7.0,1.0,1.9999999999999991,-0.9999999999999991,8.0,7.5,0.5,1.9999999999999991,-1.4999999999999991,7.5,7.5,0.0,1.0000000000000009,-1.0000000000000009,7.0,7.0,0.0,1.333333333333334,-1.333333333333334,8.0,7.0,1.0,1.333333333333333,-0.33333333333333304
prop_0168__gpt-6-astra-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0168__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0168,Space agencies should shift most exploration budgets from crewed missions to robotic probes and telescopes that deliver more science per dollar.,3,gpt-6-astra-high,grok-4.6-high,pro,2.1,2.5,2.3,-1.9666666666666668,-1.7364285714285714,4.266666666666667,-0.19999999999999996,0.3999999999999999,1,-1,1,0,0,0,1,0,0,0,0,0.0,0.0,5eee4dbee68fa3de263da5b6,e63407b199c84e4c06878108,8.0,5.5,2.5,-1.333333333333334,3.833333333333334,8.0,4.5,3.5,-1.9999999999999991,5.499999999999999,8.0,5.0,3.0,-0.33333333333333304,3.333333333333333,6.5,5.5,1.0,-1.0,2.0,8.0,6.0,2.0,-1.666666666666666,3.666666666666666
prop_0168__gpt-6-astra-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0168__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0168,Space agencies should shift most exploration budgets from crewed missions to robotic probes and telescopes that deliver more science per dollar.,3,grok-4.6-high,gpt-6-astra-high,con,-1.3,-1.3,-1.3,1.9666666666666668,1.7364285714285714,-3.2666666666666666,0.0,0.0,-1,1,0,0,1,1,0,0,1,0,0,,,0a24ecb0cd706fd742e79b25,7900886352b650465d0ed9fe,7.0,8.0,-1.0,1.333333333333334,-2.333333333333334,7.0,8.0,-1.0,1.9999999999999991,-2.999999999999999,7.0,7.5,-0.5,0.33333333333333304,-0.833333333333333,7.0,7.0,0.0,1.0,-1.0,8.0,7.5,0.5,1.666666666666666,-1.166666666666666
prop_0168__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0168__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0168,Space agencies should shift most exploration budgets from crewed missions to robotic probes and telescopes that deliver more science per dollar.,3,gpt-6-astra-high,grok-4.6-high,con,-1.2,1.1,-0.04999999999999993,-2.2333333333333334,-1.9792857142857143,2.1833333333333336,-1.15,2.3,0,-1,0,1,0,0,1,0,0,1,1,0.0,0.0,b3ec3bdec025c0e3f2a1d2e2,d4a2dddf28206c2498247910,7.5,7.5,0.0,-1.9999999999999991,1.9999999999999991,7.5,7.5,0.0,-1.9999999999999991,1.9999999999999991,8.0,7.0,1.0,-1.0000000000000009,2.000000000000001,7.0,6.0,1.0,-1.333333333333334,2.333333333333334,7.5,8.0,-0.5,-1.333333333333333,0.833333333333333
prop_0667__kimi-k3__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0667__gpt-6-astra-high__kimi-k3__tpl_placement_active_20260813a,prop_0667,Mandatory nationwide E-Verify for new hires would meaningfully reduce unauthorized employment without causing large increases in discrimination or labor shortages.,3,kimi-k3,gpt-6-astra-high,pro,1.5,1.5,1.5,1.7,1.6099404761904763,-0.19999999999999996,0.0,0.0,1,1,1,0,0,1,0,1,0,0,0,,,ae8d9d7cafb301af9a8a6bcd,4b56f79a98636919ef0318a3,7.5,7.0,0.5,1.0,-0.5,7.0,7.5,-0.5,0.0,-0.5,7.5,8.5,-1.0,-0.3333333333333339,-0.6666666666666661,7.0,8.0,-1.0,0.0,-1.0,8.0,7.0,1.0,1.0,0.0
prop_0667__gpt-6-astra-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0667__gpt-6-astra-high__kimi-k3__tpl_placement_active_20260813a,prop_0667,Mandatory nationwide E-Verify for new hires would meaningfully reduce unauthorized employment without causing large increases in discrimination or labor shortages.,3,gpt-6-astra-high,kimi-k3,pro,-0.7,1.4,0.35,-2.033333333333333,-1.9286904761904762,2.3833333333333333,-1.0499999999999998,2.0999999999999996,0,-1,0,1,0,0,1,0,0,1,1,0.0,0.0,3dd17527bcd7facd49792b9d,1343bb0e6f4cc6c72429194a,7.5,7.5,0.0,-1.333333333333334,1.333333333333334,8.0,6.5,1.5,-2.000000000000001,3.500000000000001,8.0,5.0,3.0,-0.6666666666666661,3.666666666666666,7.0,7.0,0.0,-2.0,2.0,7.5,7.5,0.0,-2.000000000000001,2.000000000000001
prop_0667__kimi-k3__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0667__gpt-6-astra-high__kimi-k3__tpl_placement_active_20260813a,prop_0667,Mandatory nationwide E-Verify for new hires would meaningfully reduce unauthorized employment without causing large increases in discrimination or labor shortages.,3,gpt-6-astra-high,kimi-k3,con,1.6,2.0,1.8,-1.7,-1.6099404761904763,3.5,-0.19999999999999996,0.3999999999999999,1,-1,1,0,0,0,1,0,0,0,0,0.0,0.0,0ef1bfc10d3848bb9eaac79a,7aefb4db4427df58f170b4f2,8.0,6.5,1.5,-1.0,2.5,8.0,5.0,3.0,0.0,3.0,8.0,5.5,2.5,0.3333333333333339,2.166666666666666,7.0,5.0,2.0,0.0,2.0,8.0,6.5,1.5,-1.0,2.5
prop_0667__gpt-6-astra-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0667__gpt-6-astra-high__kimi-k3__tpl_placement_active_20260813a,prop_0667,Mandatory nationwide E-Verify for new hires would meaningfully reduce unauthorized employment without causing large increases in discrimination or labor shortages.,3,kimi-k3,gpt-6-astra-high,con,1.5,2.0,1.75,2.033333333333333,1.9286904761904762,-0.2833333333333332,-0.25,0.5,1,1,1,0,0,1,0,1,0,0,0,,,a833ae434157ed83dd3a1395,63a42385658933b819567969,8.0,7.0,1.0,1.333333333333334,-0.3333333333333339,8.5,7.0,1.5,2.000000000000001,-0.5000000000000009,8.0,7.0,1.0,0.6666666666666661,0.3333333333333339,7.5,6.5,1.0,2.0,-1.0,8.5,7.0,1.5,2.000000000000001,-0.5000000000000009
prop_0650__claude-sonnet-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0650__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0650,Widespread adoption of continuous glucose monitors by non-diabetic people will improve public health more than it will fuel anxiety and over-medicalization.,3,grok-4.6-high,claude-sonnet-5-high,con,1.5,1.6,1.55,2.0,2.0738425926,-0.44999999999999996,-0.050000000000000044,0.10000000000000009,1,1,1,0,0,1,0,1,0,0,0,,,b7c11841f8beb6d003a5f9f6,13627cfaa75728190428d010,8.0,7.0,1.0,1.333333333333333,-0.33333333333333304,8.0,7.0,1.0,2.333333333333334,-1.333333333333334,8.0,7.0,1.0,1.333333333333333,-0.33333333333333304,7.5,6.5,1.0,1.333333333333333,-0.33333333333333304,8.0,7.0,1.0,1.0,0.0
prop_0650__claude-sonnet-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0650__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0650,Widespread adoption of continuous glucose monitors by non-diabetic people will improve public health more than it will fuel anxiety and over-medicalization.,3,claude-sonnet-5-high,grok-4.6-high,pro,-2.2,-2.3,-2.25,-2.0,-2.0738425926,-0.25,0.04999999999999982,0.09999999999999964,-1,-1,0,0,1,0,1,1,1,0,0,1.0,1.0,1f893af27f06cee70beb5dbc,d7782a4f106bc95bd94c92b9,6.5,8.0,-1.5,-1.333333333333333,-0.16666666666666696,6.0,8.0,-2.0,-2.333333333333334,0.3333333333333339,6.5,7.5,-1.0,-1.333333333333333,0.33333333333333304,6.0,7.0,-1.0,-1.333333333333333,0.33333333333333304,7.0,8.0,-1.0,-1.0,0.0
prop_0650__grok-4.6-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0650__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0650,Widespread adoption of continuous glucose monitors by non-diabetic people will improve public health more than it will fuel anxiety and over-medicalization.,3,claude-sonnet-5-high,grok-4.6-high,con,1.8,2.2,2.0,1.5,1.5614814814666669,0.5,-0.20000000000000007,0.40000000000000013,1,1,1,0,0,1,0,1,0,0,0,,,fe5cbcb0fd980892e4f1e7c1,6cc168dd74f6d20968a36a71,7.5,6.5,1.0,1.0,0.0,8.0,6.0,2.0,1.333333333333334,0.6666666666666661,7.5,6.5,1.0,1.0,0.0,7.0,5.5,1.5,1.333333333333333,0.16666666666666696,7.5,6.0,1.5,1.0000000000000009,0.4999999999999991
prop_0650__grok-4.6-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0650__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0650,Widespread adoption of continuous glucose monitors by non-diabetic people will improve public health more than it will fuel anxiety and over-medicalization.,3,grok-4.6-high,claude-sonnet-5-high,pro,-1.2,-1.2,-1.2,-1.5,-1.5614814814666669,0.30000000000000004,0.0,0.0,-1,-1,0,0,1,0,1,1,1,0,0,1.0,1.0,729cae7fef6387141b0958d0,ead542b78ea43cfbcdc628bc,7.5,8.0,-0.5,-1.0,0.5,7.0,8.0,-1.0,-1.333333333333334,0.3333333333333339,7.0,7.5,-0.5,-1.0,0.5,7.0,8.0,-1.0,-1.333333333333333,0.33333333333333304,8.0,8.0,0.0,-1.0000000000000009,1.0000000000000009
prop_0136__muse-spark-1.3-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0136__glm-5-3-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0136,East Asian governments will raise birth rates more by improving housing affordability and childcare than by offering one-off cash bonuses for babies.,3,glm-5-3-high,muse-spark-1.3-high,con,-1.2,1.2,0.0,0.39999999999999997,0.4088095238095239,-0.39999999999999997,-1.2,2.4,0,0,0,1,0,0,0,1,0,1,1,,,1864cdd1903c41f7380c6b12,d3c7a7128a21c94262b240d1,7.0,7.0,0.0,0.0,0.0,8.0,6.5,1.5,1.0,0.5,6.5,6.5,0.0,0.33333333333333304,-0.33333333333333304,7.0,6.0,1.0,1.0,0.0,8.0,6.5,1.5,0.666666666666667,0.833333333333333
prop_0136__glm-5-3-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0136__glm-5-3-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0136,East Asian governments will raise birth rates more by improving housing affordability and childcare than by offering one-off cash bonuses for babies.,3,glm-5-3-high,muse-spark-1.3-high,pro,-0.8,1.2,0.19999999999999996,-1.5666666666666667,-1.4004761904761907,1.7666666666666666,-1.0,2.0,0,-1,0,1,0,0,1,0,0,1,1,0.0,0.0,b3149fb465aa8e6d0a4a0a4f,1f1cffe8b0118eaada296ee6,7.0,6.5,0.5,-0.666666666666667,1.166666666666667,7.0,7.0,0.0,-1.333333333333333,1.333333333333333,7.0,6.5,0.5,0.0,0.5,7.0,6.5,0.5,-1.0,1.5,7.5,7.5,0.0,-0.9999999999999991,0.9999999999999991
prop_0136__muse-spark-1.3-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0136__glm-5-3-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0136,East Asian governments will raise birth rates more by improving housing affordability and childcare than by offering one-off cash bonuses for babies.,3,muse-spark-1.3-high,glm-5-3-high,pro,1.5,2.0,1.75,-0.39999999999999997,-0.4088095238095239,2.15,-0.25,0.5,1,0,1,0,0,0,0,0,0,0,0,,,2c5928e02080e38a209c4f9b,ea753fa6e06a34c8393b2885,8.0,6.5,1.5,0.0,1.5,8.0,7.0,1.0,-1.0,2.0,7.5,7.0,0.5,-0.33333333333333304,0.833333333333333,7.5,6.5,1.0,-1.0,2.0,7.5,7.5,0.0,-0.666666666666667,0.666666666666667
