side_swap_group_id,topic_id,proposition_text,model_a,model_b,debate_ids,debate_count,swap_complete,rating_eligible,judgment_rows,judge_models,judge_count,normalized_margin_rows,mean_confidence,mean_entertainment_value,mean_signed_margin_a_raw,mean_signed_margin_a_norm,score_a_raw,score_a_norm,winner_raw,winner_norm
prop_0023__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0023,Most cryptocurrency trading platforms should be regulated as securities exchanges or broker-dealers rather than as a distinct lightly supervised asset category.,claude-fable-5-1-high,kimi-k3,prop_0023__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a|prop_0023__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,grok-4.5-high|muse-spark-1.1-high|qwen3.7-max,3,6,,8.0,0.0333333333333333,0.0047222222333332,0.5,0.5,tie,tie
prop_0026__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0026,Bodily autonomy carries more moral weight than appeals to dignity in personal medical choices.,gpt-6-astra-high,muse-spark-1.3-high,prop_0026__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a|prop_0026__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|grok-4.5-high|kimi-k2.6,3,6,,8.166666666666666,-0.6333333333333333,-0.5572222222222222,0.4798534798534798,0.4882173382173382,muse-spark-1.3-high,muse-spark-1.3-high
prop_0031__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0031,Cities should ban new single-family-only zoning districts entirely rather than just allow incremental density bonuses.,claude-sonnet-5-high,muse-spark-1.3-high,prop_0031__claude-sonnet-5-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a|prop_0031__muse-spark-1.3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|gpt-5.6-high|grok-4.5-high,3,6,,7.666666666666667,-0.6166666666666667,-0.5477777777833334,0.4816849816849817,0.4892551892545787,muse-spark-1.3-high,muse-spark-1.3-high
prop_0041__grok-4.6-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0041,Retailers should be banned from using personalized algorithmic dynamic pricing based on a customer's perceived willingness or ability to pay.,grok-4.6-high,muse-spark-1.3-high,prop_0041__grok-4.6-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a|prop_0041__muse-spark-1.3-high__grok-4.6-high__s1__tpl_placement_active_20260813a,2,1,1,6,claude-sonnet-5-high|gpt-5.6-high|kimi-k2.6,3,6,,8.0,0.0333333333333333,0.0346296296296295,0.5,0.5,tie,tie
prop_0045__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0045,Employers should stop using standardized personality tests such as MBTI and DISC in hiring and team-building because they have too little predictive validity.,claude-fable-5-1-high,claude-opus-5-high,prop_0045__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a|prop_0045__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,kimi-k2.6|muse-spark-1.1-high|qwen3.7-max,3,6,,7.666666666666667,0.7999999999999999,0.711875,0.5384615384615384,0.5287774725274725,claude-fable-5-1-high,claude-fable-5-1-high
prop_0046__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0046,Recreational genetic enhancement for aesthetic or non-medical physical traits in consenting adults should be strictly prohibited.,claude-sonnet-5-high,glm-5-3-high,prop_0046__claude-sonnet-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a|prop_0046__glm-5-3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|gpt-5.6-high|kimi-k2.6,3,6,,8.0,-0.3833333333333333,-0.3573148148148148,0.5,0.5,tie,tie
prop_0057__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0057,The U.S. strikes on Iranian military and nuclear targets were strategically justified despite the risk of a wider regional war.,claude-fable-5-1-high,claude-opus-5-high,prop_0057__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a|prop_0057__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,grok-4.5-high|muse-spark-1.1-high|qwen3.7-max,3,6,,8.0,-1.15,-1.1203472222166666,0.4230769230769231,0.4263354700860806,claude-opus-5-high,claude-opus-5-high
prop_0062__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0062,"AI is likely to eliminate more white-collar jobs than it creates, and policy should prepare early for that disruption.",glm-5-3-high,grok-4.6-high,prop_0062__glm-5-3-high__grok-4.6-high__s0__tpl_placement_active_20260813a|prop_0062__grok-4.6-high__glm-5-3-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|gpt-5.6-high|muse-spark-1.1-high,3,6,,7.833333333333333,-0.5166666666666667,-0.5363657407407407,0.4926739926739926,0.4905092592592592,grok-4.6-high,grok-4.6-high
prop_0077__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0077,Sanctuary cities are justified because they improve trust and public safety more than they undermine immigration enforcement.,claude-sonnet-5-high,muse-spark-1.3-high,prop_0077__claude-sonnet-5-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a|prop_0077__muse-spark-1.3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,gpt-5.6-high|kimi-k2.6|qwen3.7-max,3,6,,7.5,1.05,1.0089814814814817,0.5659340659340659,0.5614265364265364,claude-sonnet-5-high,claude-sonnet-5-high
prop_0078__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0078,"Immigrants should be expected to adopt core civic norms and the common public language of the country they settle in, rather than treat cultural integration as optional.",glm-5-3-high,grok-4.6-high,prop_0078__glm-5-3-high__grok-4.6-high__s0__tpl_placement_active_20260813a|prop_0078__grok-4.6-high__glm-5-3-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|muse-spark-1.1-high|qwen3.7-max,3,6,,7.666666666666667,-0.5166666666666667,-0.4427083333333333,0.4926739926739926,0.5,grok-4.6-high,tie
prop_0080__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0080,College athletes at schools that directly share sports revenue should be represented through formal collective bargaining rather than ad hoc NIL and compliance systems.,claude-fable-5-1-high,kimi-k3,prop_0080__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a|prop_0080__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,gpt-5.6-high|grok-4.5-high|muse-spark-1.1-high,3,6,,7.833333333333333,0.3833333333333333,0.3518055555500001,0.5,0.5,tie,tie
prop_0081__grok-4.6-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0081,"Dating apps should make identity verification, block tools, and scam-response features free by default rather than reserve the best safety features for paying users.",grok-4.6-high,muse-spark-1.3-high,prop_0081__grok-4.6-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a|prop_0081__muse-spark-1.3-high__grok-4.6-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|gpt-5.6-high|kimi-k2.6,3,6,,8.0,0.1833333333333333,0.1747222222222222,0.5,0.5,tie,tie
prop_0082__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0082,Dating apps should limit engagement-maximizing swipe mechanics and paid visibility boosts when those features undermine match quality and user trust.,claude-opus-5-high,claude-sonnet-5-high,prop_0082__claude-opus-5-high__claude-sonnet-5-high__s0__tpl_placement_active_20260320f|prop_0082__claude-sonnet-5-high__claude-opus-5-high__s1__tpl_placement_active_20260320f,2,1,1,6,gemini-3.1-pro-preview|grok-4.5-high|muse-spark-1.1-high,3,6,,7.833333333333333,1.0166666666666666,0.9763194444333332,0.5622710622710623,0.5578373015860806,claude-opus-5-high,claude-opus-5-high
prop_0084__claude-opus-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0084,Dating apps should require stronger identity verification and fraud checks even if that makes sign-up slower and less anonymous.,claude-opus-5-high,grok-4.6-high,prop_0084__claude-opus-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a|prop_0084__grok-4.6-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,kimi-k2.6|muse-spark-1.1-high|qwen3.7-max,3,6,,7.833333333333333,1.9166666666666667,1.9160416666666664,0.6611721611721612,0.6611034798534798,claude-opus-5-high,claude-opus-5-high
prop_0088__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0088,Four-day school weeks harm student learning more than they help school districts save money and retain staff.,claude-fable-5-1-high,kimi-k3,prop_0088__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a|prop_0088__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|grok-4.5-high|qwen3.7-max,3,6,,8.0,1.35,1.1616666666666666,0.5989010989010989,0.5782051282051281,claude-fable-5-1-high,claude-fable-5-1-high
prop_0092__glm-5-3-high__kimi-k3__tpl_placement_active_20260813a,prop_0092,"Cities should charge higher parking, registration, or curb fees for oversized SUVs and pickups when their size imposes higher safety and street-use costs.",glm-5-3-high,kimi-k3,prop_0092__glm-5-3-high__kimi-k3__s0__tpl_placement_active_20260813a|prop_0092__kimi-k3__glm-5-3-high__s1__tpl_placement_active_20260813a,2,1,1,6,claude-sonnet-5-high|grok-4.5-high|qwen3.7-max,3,6,,7.666666666666667,-1.1666666666666667,-1.0651984126984126,0.4212454212454212,0.4323957788243502,kimi-k3,kimi-k3
prop_0095__claude-fable-5-1-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0095,Studios should need explicit performer consent and compensation before using AI de-aging or synthetic voice tools to materially alter a living actor's performance.,claude-fable-5-1-high,gpt-6-astra-high,prop_0095__claude-fable-5-1-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a|prop_0095__gpt-6-astra-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|kimi-k2.6|qwen3.7-max,3,6,,7.833333333333333,1.7666666666666666,1.662222222222222,0.6446886446886447,0.6332112332112332,claude-fable-5-1-high,claude-fable-5-1-high
prop_0096__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0096,AI dubbing of actors' voices for film and television should require opt-in performer consent rather than rely on broad contract boilerplate.,claude-opus-5-high,kimi-k3,prop_0096__claude-opus-5-high__kimi-k3__s0__tpl_placement_active_20260320f|prop_0096__kimi-k3__claude-opus-5-high__s1__tpl_placement_active_20260320f,2,1,1,6,gemini-3.1-pro-preview|muse-spark-1.1-high|qwen3.7-max,3,6,,8.5,0.5666666666666667,0.4745833333333333,0.5128205128205128,0.5027014652014652,claude-opus-5-high,claude-opus-5-high
prop_0096__claude-opus-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0096,AI dubbing of actors' voices for film and television should require opt-in performer consent rather than rely on broad contract boilerplate.,claude-opus-5-high,muse-spark-1.3-high,prop_0096__claude-opus-5-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a|prop_0096__muse-spark-1.3-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|gpt-5.6-high|kimi-k2.6,3,6,,8.5,-0.4166666666666667,-0.3840740740666666,0.5,0.5,tie,tie
prop_0101__claude-fable-5-1-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0101,Governments should ban social-media accounts for children under sixteen rather than rely mainly on parental controls and softer design changes.,claude-fable-5-1-high,glm-5-3-high,prop_0101__claude-fable-5-1-high__glm-5-3-high__s0__tpl_placement_active_20260813a|prop_0101__glm-5-3-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|kimi-k2.6|qwen3.7-max,3,6,,8.0,1.3666666666666665,1.3127777777777778,0.6007326007326007,0.5948107448107448,claude-fable-5-1-high,claude-fable-5-1-high
prop_0105__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0105,Courts should be able to order temporary firearm removal through red-flag laws when credible evidence shows imminent risk even before a criminal conviction.,claude-fable-5-1-high,grok-4.6-high,prop_0105__claude-fable-5-1-high__grok-4.6-high__s0__tpl_placement_active_20260813a|prop_0105__grok-4.6-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,gpt-5.6-high|kimi-k2.6|muse-spark-1.1-high,3,6,,8.166666666666666,1.05,1.1565509259166666,0.5659340659340659,0.5776429588919414,claude-fable-5-1-high,claude-fable-5-1-high
prop_0107__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0107,"For carefully screened adolescents with persistent gender dysphoria, access to gender-affirming medical care improves mental-health outcomes more than it increases long-term regret or harm.",claude-sonnet-5-high,gpt-6-astra-high,prop_0107__claude-sonnet-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a|prop_0107__gpt-6-astra-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|grok-4.5-high|muse-spark-1.1-high,3,6,,7.5,-0.5499999999999999,-0.6009027777777777,0.489010989010989,0.4834172771672771,gpt-6-astra-high,gpt-6-astra-high
prop_0112__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0112,"For basic medical coverage, single-payer financing is preferable to employer-based insurance systems that tie access to work status.",claude-fable-5-1-high,kimi-k3,prop_0112__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a|prop_0112__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,gpt-5.6-high|grok-4.5-high|muse-spark-1.1-high,3,6,,7.666666666666667,0.6833333333333332,0.7394212962833334,0.5256410256410257,0.5318045380531136,claude-fable-5-1-high,claude-fable-5-1-high
prop_0112__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0112,"For basic medical coverage, single-payer financing is preferable to employer-based insurance systems that tie access to work status.",claude-opus-5-high,kimi-k3,prop_0112__claude-opus-5-high__kimi-k3__s0__tpl_placement_active_20260320f|prop_0112__kimi-k3__claude-opus-5-high__s1__tpl_placement_active_20260320f,2,1,1,6,grok-4.5-high|muse-spark-1.1-high|qwen3.7-max,3,6,,7.833333333333333,-0.5333333333333333,-0.6009027777833333,0.4908424908424908,0.4834172771666666,kimi-k3,kimi-k3
prop_0112__glm-5-3-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0112,"For basic medical coverage, single-payer financing is preferable to employer-based insurance systems that tie access to work status.",glm-5-3-high,gpt-6-astra-high,prop_0112__glm-5-3-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a|prop_0112__gpt-6-astra-high__glm-5-3-high__s1__tpl_placement_active_20260813a,2,1,1,6,claude-sonnet-5-high|gemini-3.1-pro-preview|grok-4.5-high,3,6,,7.333333333333333,1.05,1.0982539682539685,0.5659340659340659,0.5712366998081284,glm-5-3-high,glm-5-3-high
prop_0114__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0114,Governments should give family caregivers pension or social-insurance credits for unpaid care work rather than treat that labor as invisible.,glm-5-3-high,grok-4.6-high,prop_0114__glm-5-3-high__grok-4.6-high__s0__tpl_placement_active_20260813a|prop_0114__grok-4.6-high__glm-5-3-high__s1__tpl_placement_active_20260813a,2,1,1,6,gpt-5.6-high|kimi-k2.6|muse-spark-1.1-high,3,6,,8.0,-0.1833333333333333,-0.1090046296296296,0.5,0.5,tie,tie
prop_0118__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0118,Public-school systems should provide universal free school meals without means testing rather than target support only to poorer students.,claude-opus-5-high,claude-sonnet-5-high,prop_0118__claude-opus-5-high__claude-sonnet-5-high__s0__tpl_placement_active_20260320f|prop_0118__claude-sonnet-5-high__claude-opus-5-high__s1__tpl_placement_active_20260320f,2,1,1,6,gemini-3.1-pro-preview|kimi-k2.6|muse-spark-1.1-high,3,6,,7.5,1.7,1.7,0.6373626373626373,0.6373626373626373,claude-opus-5-high,claude-opus-5-high
prop_0119__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0119,Restaurants should replace tipping-based compensation with higher base pay and clearly included service charges rather than rely on customer guilt and hidden labor costs.,claude-fable-5-1-high,claude-opus-5-high,prop_0119__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a|prop_0119__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|gpt-5.6-high|muse-spark-1.1-high,3,6,,8.333333333333334,0.4833333333333334,0.5076388889,0.5036630036630036,0.5063339438351648,claude-fable-5-1-high,claude-fable-5-1-high
prop_0120__glm-5-3-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0120,Wealthy households should face an annual tax on large net worth rather than rely almost entirely on income and consumption taxes.,glm-5-3-high,gpt-6-astra-high,prop_0120__glm-5-3-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a|prop_0120__gpt-6-astra-high__glm-5-3-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|grok-4.5-high|muse-spark-1.1-high,3,6,,7.333333333333333,0.05,0.0460416666666666,0.5,0.5,tie,tie
prop_0121__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0121,Young adults should be able to access mental-health treatment privately without parental notification or insurance billing that automatically reveals the visit.,claude-opus-5-high,kimi-k3,prop_0121__claude-opus-5-high__kimi-k3__s0__tpl_placement_active_20260320f|prop_0121__kimi-k3__claude-opus-5-high__s1__tpl_placement_active_20260320f,2,1,1,6,gemini-3.1-pro-preview|gpt-5.6-high|muse-spark-1.1-high,3,6,,8.333333333333334,-0.0333333333333334,-0.02243055555,0.5,0.5,tie,tie
prop_0124__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0124,Laws should allow competent adults with unbearable terminal or degenerative suffering to receive medical assistance in dying under strict safeguards.,claude-sonnet-5-high,glm-5-3-high,prop_0124__claude-sonnet-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a|prop_0124__glm-5-3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,grok-4.5-high|muse-spark-1.1-high|qwen3.7-max,3,6,,7.666666666666667,0.3833333333333333,0.4131944444444444,0.5,0.5,tie,tie
prop_0125__glm-5-3-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0125,Governments should subsidize rural broadband expansion even when private carriers argue that serving sparsely populated areas is not commercially viable.,glm-5-3-high,gpt-6-astra-high,prop_0125__glm-5-3-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a|prop_0125__gpt-6-astra-high__glm-5-3-high__s1__tpl_placement_active_20260813a,2,1,1,6,grok-4.5-high|kimi-k2.6|muse-spark-1.1-high,3,6,,7.333333333333333,-0.8666666666666667,-0.9786805555555556,0.4542124542124542,0.4419032356532356,gpt-6-astra-high,gpt-6-astra-high
prop_0127__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0127,Large supermarkets should be required to donate unsold edible food or discount it sharply before disposal rather than treat waste as a normal cost of doing business.,claude-sonnet-5-high,grok-4.6-high,prop_0127__claude-sonnet-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a|prop_0127__grok-4.6-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,gpt-5.6-high|muse-spark-1.1-high|qwen3.7-max,3,6,,7.833333333333333,-0.2166666666666666,-0.19872685185,0.5,0.5,tie,tie
prop_0127__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0127,Large supermarkets should be required to donate unsold edible food or discount it sharply before disposal rather than treat waste as a normal cost of doing business.,gpt-6-astra-high,grok-4.6-high,prop_0127__gpt-6-astra-high__grok-4.6-high__s0__tpl_placement_active_20260813a|prop_0127__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,2,1,1,6,claude-sonnet-5-high|kimi-k2.6|muse-spark-1.1-high,3,6,,7.0,-0.1666666666666667,-0.1239583333333333,0.5,0.5,tie,tie
prop_0128__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0128,Employers should stop requiring college degrees for jobs where degree completion is not genuinely necessary for performance.,claude-fable-5-1-high,claude-opus-5-high,prop_0128__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a|prop_0128__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,gpt-5.6-high|grok-4.5-high|kimi-k2.6,3,6,,8.0,-0.45,-0.50055555555,0.5,0.494444444445055,tie,claude-opus-5-high
prop_0132__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0132,Social media platforms should stop recommending political content by default unless users explicitly opt in to seeing it.,claude-sonnet-5-high,gpt-6-astra-high,prop_0132__claude-sonnet-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a|prop_0132__gpt-6-astra-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,grok-4.5-high|kimi-k2.6|muse-spark-1.1-high,3,6,,7.333333333333333,0.4666666666666666,0.5288888888888889,0.5018315018315018,0.5086691086691086,claude-sonnet-5-high,claude-sonnet-5-high
