debate_id,side_swap_group_id,topic_id,model_pro,model_con,pro_participant_winner,con_participant_winner,same_verdict,both_choose_self,both_choose_opponent
prop_0017__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0017__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0017,gpt-6-astra-high,muse-spark-1.3-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0017__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0017__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0017,muse-spark-1.3-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0018__claude-sonnet-5-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0018__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0018,claude-sonnet-5-high,muse-spark-1.3-high,claude-sonnet-5-high,claude-sonnet-5-high,1,0,0
prop_0018__muse-spark-1.3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0018__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0018,muse-spark-1.3-high,claude-sonnet-5-high,muse-spark-1.3-high,muse-spark-1.3-high,1,0,0
prop_0021__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0021__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0021,claude-fable-5-1-high,claude-opus-5-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0021__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0021__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0021,claude-opus-5-high,claude-fable-5-1-high,TIE,TIE,1,0,0
prop_0021__gpt-6-astra-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0021__gpt-6-astra-high__kimi-k3__tpl_placement_active_20260813a,prop_0021,gpt-6-astra-high,kimi-k3,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0021__kimi-k3__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0021__gpt-6-astra-high__kimi-k3__tpl_placement_active_20260813a,prop_0021,kimi-k3,gpt-6-astra-high,kimi-k3,gpt-6-astra-high,0,1,0
prop_0022__claude-sonnet-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0022__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0022,claude-sonnet-5-high,gpt-6-astra-high,claude-sonnet-5-high,TIE,0,0,0
prop_0022__gpt-6-astra-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0022__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0022,gpt-6-astra-high,claude-sonnet-5-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0023__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0023__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0023,claude-fable-5-1-high,kimi-k3,claude-fable-5-1-high,kimi-k3,0,1,0
prop_0023__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0023__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0023,kimi-k3,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0026__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0026__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0026,gpt-6-astra-high,muse-spark-1.3-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0026__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0026__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0026,muse-spark-1.3-high,gpt-6-astra-high,TIE,gpt-6-astra-high,0,0,0
prop_0031__claude-sonnet-5-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0031__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0031,claude-sonnet-5-high,muse-spark-1.3-high,muse-spark-1.3-high,TIE,0,0,0
prop_0031__muse-spark-1.3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0031__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0031,muse-spark-1.3-high,claude-sonnet-5-high,muse-spark-1.3-high,TIE,0,0,0
prop_0041__grok-4.6-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0041__grok-4.6-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0041,grok-4.6-high,muse-spark-1.3-high,grok-4.6-high,TIE,0,0,0
prop_0041__muse-spark-1.3-high__grok-4.6-high__s1__tpl_placement_active_20260813a,prop_0041__grok-4.6-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0041,muse-spark-1.3-high,grok-4.6-high,muse-spark-1.3-high,TIE,0,0,0
prop_0045__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0045__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0045,claude-fable-5-1-high,claude-opus-5-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0045__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0045__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0045,claude-opus-5-high,claude-fable-5-1-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0046__claude-sonnet-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0046__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0046,claude-sonnet-5-high,glm-5-3-high,glm-5-3-high,glm-5-3-high,1,0,0
prop_0046__glm-5-3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0046__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0046,glm-5-3-high,claude-sonnet-5-high,claude-sonnet-5-high,claude-sonnet-5-high,1,0,0
prop_0057__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0057__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0057,claude-fable-5-1-high,claude-opus-5-high,TIE,claude-opus-5-high,0,0,0
prop_0057__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0057__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0057,claude-opus-5-high,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0062__glm-5-3-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0062__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0062,glm-5-3-high,grok-4.6-high,glm-5-3-high,grok-4.6-high,0,1,0
prop_0062__grok-4.6-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0062__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0062,grok-4.6-high,glm-5-3-high,TIE,grok-4.6-high,0,0,0
prop_0077__claude-sonnet-5-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0077__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0077,claude-sonnet-5-high,muse-spark-1.3-high,muse-spark-1.3-high,muse-spark-1.3-high,1,0,0
prop_0077__muse-spark-1.3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0077__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0077,muse-spark-1.3-high,claude-sonnet-5-high,muse-spark-1.3-high,claude-sonnet-5-high,0,1,0
prop_0078__glm-5-3-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0078__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0078,glm-5-3-high,grok-4.6-high,TIE,grok-4.6-high,0,0,0
prop_0078__grok-4.6-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0078__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0078,grok-4.6-high,glm-5-3-high,grok-4.6-high,TIE,0,0,0
prop_0080__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0080__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0080,claude-fable-5-1-high,kimi-k3,kimi-k3,kimi-k3,1,0,0
prop_0080__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0080__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0080,kimi-k3,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0081__grok-4.6-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0081__grok-4.6-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0081,grok-4.6-high,muse-spark-1.3-high,grok-4.6-high,TIE,0,0,0
prop_0081__muse-spark-1.3-high__grok-4.6-high__s1__tpl_placement_active_20260813a,prop_0081__grok-4.6-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0081,muse-spark-1.3-high,grok-4.6-high,TIE,grok-4.6-high,0,0,0
prop_0082__claude-opus-5-high__claude-sonnet-5-high__s0__tpl_placement_active_20260320f,prop_0082__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0082,claude-opus-5-high,claude-sonnet-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0082__claude-sonnet-5-high__claude-opus-5-high__s1__tpl_placement_active_20260320f,prop_0082__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0082,claude-sonnet-5-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0084__claude-opus-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0084__claude-opus-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0084,claude-opus-5-high,grok-4.6-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0084__grok-4.6-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0084__claude-opus-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0084,grok-4.6-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0088__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0088__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0088,claude-fable-5-1-high,kimi-k3,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0088__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0088__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0088,kimi-k3,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0092__glm-5-3-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0092__glm-5-3-high__kimi-k3__tpl_placement_active_20260813a,prop_0092,glm-5-3-high,kimi-k3,kimi-k3,kimi-k3,1,0,0
prop_0092__kimi-k3__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0092__glm-5-3-high__kimi-k3__tpl_placement_active_20260813a,prop_0092,kimi-k3,glm-5-3-high,kimi-k3,kimi-k3,1,0,0
prop_0095__claude-fable-5-1-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0095__claude-fable-5-1-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0095,claude-fable-5-1-high,gpt-6-astra-high,claude-fable-5-1-high,gpt-6-astra-high,0,1,0
prop_0095__gpt-6-astra-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0095__claude-fable-5-1-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0095,gpt-6-astra-high,claude-fable-5-1-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0096__claude-opus-5-high__kimi-k3__s0__tpl_placement_active_20260320f,prop_0096__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0096,claude-opus-5-high,kimi-k3,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0096__claude-opus-5-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0096__claude-opus-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0096,claude-opus-5-high,muse-spark-1.3-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0096__kimi-k3__claude-opus-5-high__s1__tpl_placement_active_20260320f,prop_0096__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0096,kimi-k3,claude-opus-5-high,kimi-k3,kimi-k3,1,0,0
prop_0096__muse-spark-1.3-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0096__claude-opus-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0096,muse-spark-1.3-high,claude-opus-5-high,muse-spark-1.3-high,muse-spark-1.3-high,1,0,0
prop_0101__claude-fable-5-1-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0101__claude-fable-5-1-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0101,claude-fable-5-1-high,glm-5-3-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0101__glm-5-3-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0101__claude-fable-5-1-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0101,glm-5-3-high,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0105__claude-fable-5-1-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0105__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0105,claude-fable-5-1-high,grok-4.6-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0105__grok-4.6-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0105__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0105,grok-4.6-high,claude-fable-5-1-high,claude-fable-5-1-high,grok-4.6-high,0,0,1
prop_0107__claude-sonnet-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0107__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0107,claude-sonnet-5-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0107__gpt-6-astra-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0107__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0107,gpt-6-astra-high,claude-sonnet-5-high,gpt-6-astra-high,claude-sonnet-5-high,0,1,0
prop_0112__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0112__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0112,claude-fable-5-1-high,kimi-k3,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0112__claude-opus-5-high__kimi-k3__s0__tpl_placement_active_20260320f,prop_0112__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0112,claude-opus-5-high,kimi-k3,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0112__glm-5-3-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0112__glm-5-3-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0112,glm-5-3-high,gpt-6-astra-high,glm-5-3-high,gpt-6-astra-high,0,1,0
prop_0112__gpt-6-astra-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0112__glm-5-3-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0112,gpt-6-astra-high,glm-5-3-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0112__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0112__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0112,kimi-k3,claude-fable-5-1-high,TIE,kimi-k3,0,0,0
prop_0112__kimi-k3__claude-opus-5-high__s1__tpl_placement_active_20260320f,prop_0112__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0112,kimi-k3,claude-opus-5-high,kimi-k3,kimi-k3,1,0,0
prop_0114__glm-5-3-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0114__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0114,glm-5-3-high,grok-4.6-high,grok-4.6-high,grok-4.6-high,1,0,0
prop_0114__grok-4.6-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0114__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0114,grok-4.6-high,glm-5-3-high,glm-5-3-high,TIE,0,0,0
prop_0118__claude-opus-5-high__claude-sonnet-5-high__s0__tpl_placement_active_20260320f,prop_0118__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0118,claude-opus-5-high,claude-sonnet-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0118__claude-sonnet-5-high__claude-opus-5-high__s1__tpl_placement_active_20260320f,prop_0118__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0118,claude-sonnet-5-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0119__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0119__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0119,claude-fable-5-1-high,claude-opus-5-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0119__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0119__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0119,claude-opus-5-high,claude-fable-5-1-high,TIE,claude-fable-5-1-high,0,0,0
prop_0120__glm-5-3-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0120__glm-5-3-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0120,glm-5-3-high,gpt-6-astra-high,TIE,gpt-6-astra-high,0,0,0
prop_0120__gpt-6-astra-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0120__glm-5-3-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0120,gpt-6-astra-high,glm-5-3-high,gpt-6-astra-high,glm-5-3-high,0,1,0
prop_0121__claude-opus-5-high__kimi-k3__s0__tpl_placement_active_20260320f,prop_0121__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0121,claude-opus-5-high,kimi-k3,claude-opus-5-high,TIE,0,0,0
prop_0121__kimi-k3__claude-opus-5-high__s1__tpl_placement_active_20260320f,prop_0121__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0121,kimi-k3,claude-opus-5-high,kimi-k3,kimi-k3,1,0,0
prop_0124__claude-sonnet-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0124__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0124,claude-sonnet-5-high,glm-5-3-high,TIE,claude-sonnet-5-high,0,0,0
prop_0124__glm-5-3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0124__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0124,glm-5-3-high,claude-sonnet-5-high,glm-5-3-high,claude-sonnet-5-high,0,1,0
prop_0125__glm-5-3-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0125__glm-5-3-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0125,glm-5-3-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0125__gpt-6-astra-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0125__glm-5-3-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0125,gpt-6-astra-high,glm-5-3-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0127__claude-sonnet-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0127__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0127,claude-sonnet-5-high,grok-4.6-high,TIE,grok-4.6-high,0,0,0
prop_0127__gpt-6-astra-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0127__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0127,gpt-6-astra-high,grok-4.6-high,gpt-6-astra-high,grok-4.6-high,0,1,0
prop_0127__grok-4.6-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0127__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0127,grok-4.6-high,claude-sonnet-5-high,grok-4.6-high,TIE,0,0,0
prop_0127__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0127__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0127,grok-4.6-high,gpt-6-astra-high,TIE,gpt-6-astra-high,0,0,0
prop_0128__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0128__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0128,claude-fable-5-1-high,claude-opus-5-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0128__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0128__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0128,claude-opus-5-high,claude-fable-5-1-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0132__claude-sonnet-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0132__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0132,claude-sonnet-5-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0132__gpt-6-astra-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0132__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0132,gpt-6-astra-high,claude-sonnet-5-high,gpt-6-astra-high,TIE,0,0,0
prop_0136__glm-5-3-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0136__glm-5-3-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0136,glm-5-3-high,muse-spark-1.3-high,TIE,TIE,1,0,0
prop_0136__muse-spark-1.3-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0136__glm-5-3-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0136,muse-spark-1.3-high,glm-5-3-high,muse-spark-1.3-high,TIE,0,0,0
prop_0145__grok-4.6-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0145__grok-4.6-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0145,grok-4.6-high,muse-spark-1.3-high,grok-4.6-high,grok-4.6-high,1,0,0
prop_0145__muse-spark-1.3-high__grok-4.6-high__s1__tpl_placement_active_20260813a,prop_0145__grok-4.6-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0145,muse-spark-1.3-high,grok-4.6-high,grok-4.6-high,muse-spark-1.3-high,0,0,1
prop_0152__claude-sonnet-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0152__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0152,claude-sonnet-5-high,glm-5-3-high,glm-5-3-high,glm-5-3-high,1,0,0
prop_0152__glm-5-3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0152__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0152,glm-5-3-high,claude-sonnet-5-high,glm-5-3-high,claude-sonnet-5-high,0,1,0
prop_0153__claude-fable-5-1-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0153__claude-fable-5-1-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0153,claude-fable-5-1-high,muse-spark-1.3-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0153__muse-spark-1.3-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0153__claude-fable-5-1-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0153,muse-spark-1.3-high,claude-fable-5-1-high,muse-spark-1.3-high,claude-fable-5-1-high,0,1,0
prop_0156__claude-fable-5-1-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0156__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0156,claude-fable-5-1-high,grok-4.6-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
